"CODIGO","NOME","CODUOME","NOMEUO","SEDE","MORADA","LOCALIDADE","CONCELHO","DISTRITO","CP","CODDSR","CODQZP","GRUPONATUREZAINST","CICLO","FAX","URL","EMAIL","TELEFONE1","TELEFONE2"
"803263","Externato da Quintinha","","","N","Rua José Pedro Lourença, 51 - Bairro da Paradela","SANTO ANTÓNIO CAVALEIROS","Loures","Lisboa","2660-291","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","219890770","","ext.quintinha@escolas.min-edu.pt; ","219885448",""
"503046","Externato ""Florbela Espanca""","","","N","Rua de Loures, nº 18 - Bairro Castelhana","SÃO JOÃO DA TALHA","Loures","Lisboa","2695-553","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","219959051","http://www.externato-florbelaespanca.pa-net.pt","ext.florbelaespanca@escolas.min-edu.pt; ","219551314",""
"800505","Conservatório Artallis","","","N","Rua Alexandre Herculano - Bairro Venceslau - Catujal","UNHOS","Loures","Lisboa","2680-402","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;Artistico","","","cva.loures@escolas.min-edu.pt; ","218242417","930527418"
"800411","Colégio Pedro Arrupe","","","N","Passeio dos Heróis do Mar, 100 Parque das Nações","LISBOA","Lisboa","Lisboa","1990-529","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário","","http://www.colegiopedroarrupe.pt","cl.pedroarrupe@escolas.min-edu.pt; ","211572640",""
"800376","Colégio Integrado Monte Maior","","","N","Rua do Sol Nascente, n.º 7 - Montemor","LOURES","Loures","Lisboa","2670-502","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário","219817219","http://www.montemaior.com","cl.imontemaior@escolas.min-edu.pt; ","219817210",""
"800486","Colégio Oriente","","","N","Rua Principe do Mónaco (Alberto I), n.º 1 - Parque das Nações","LISBOA","Lisboa","Lisboa","1990-516","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário","218969060","","cl.oriente@escolas.min-edu.pt; ","218933160",""
"502911","Colégio Bartolomeu Dias","","","N","R. Bartolomeu Dias, Bairro Funchal","SANTA IRIA DE AZÓIA","Loures","Lisboa","2690-435","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário","219563784","http://www.cbdias.com/","ext.bartolomeudias@escolas.min-edu.pt; ","219591222",""
"517707","Jardim De Infância Do Posto Assistência Social Da Malveira","","","N","Largo Das Escolas, N.º 3","MALVEIRA","Mafra","Lisboa","2665-225","Lisboa e Vale do Tejo","QZP.42","Privado","Pré-escolar;1º Ciclo","","","ji.pasocial@escolas.min-edu.pt; ","219862349",""
"800388","Colégio Militar","","","N","Largo da Luz","LISBOA","Lisboa","Lisboa","1600-498","Lisboa e Vale do Tejo","QZP.45","Publico","2º Ciclo;3º Ciclo;Secundário;1º Ciclo","217104016","http://www.colegiomilitar.pt","","217104000",""
"502121","Colégio Manuel Bernardes","","","N","Quinta dos Azulejos, Paço do Lumiar","LISBOA","Lisboa","Lisboa","1600-549","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário","217572311","http://www.cmb.pt","cl.manuelbernardes@escolas.min-edu.pt; ","217570501",""
"505080","Colégio Luso-Suíço","","","N","Rua de Stº Amaro, nº 18","LISBOA","Lisboa","Lisboa","1200-803","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","213976164","","cl.lusosuico@escolas.min-edu.pt; ","213906979",""
"517320","Associação Infante De Sagres","","","N","Rua Azevedo Neves","LISBOA","Lisboa","Lisboa","1600-015","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","217262276","","aisagres@aisagres.pt; ","217265940",""
"800360","Externato Eduardo Claparède","","","N","Praça Andrade Caminha, n.º 5","LISBOA","Lisboa","Lisboa","1700-039","Lisboa e Vale do Tejo","QZP.45","Privado","1º Ciclo;2º Ciclo;Especial","217930833","","cl.eduardoclaparede@escolas.min-edu.pt; ","217993982","217978866"
"503885","Colégio do Sagrado Coração de Maria - Lisboa","","","N","Av. Manuel da Maia, nº 2","LISBOA","Lisboa","Lisboa","1000-201","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário","218476435","http://www.cscm-lx.pt","cl.scmarialisboa@escolas.min-edu.pt; ","218475342",""
"505079","Colégio do Bom Sucesso","","","N","Rua Bartolomeu Dias, n. º 53","LISBOA","Lisboa","Lisboa","1400-026","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo","213020435","","cl.bomsucesso@escolas.min-edu.pt; ","213010442",""
"502273","Colégio de São João de Brito","","","N","Estrada da Torre, 28","LISBOA","Lisboa","Lisboa","1769-004","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário","217599835","http://www.csjb.pt","cl.sjoaobrito@escolas.min-edu.pt; ","217519000",""
"503472","Colégio de Santa Maria","","","N","Rua das Praças, n.º 15 a 17","LISBOA","Lisboa","Lisboa","1200-765","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo","213967301","","cl.stamarialisboa@escolas.min-edu.pt; ","213961875",""
"800472","Colégio São Tomás - Quinta das Conchas","","","N","Avenida Maria Helena Vieira da Silva, n.º 39","LISBOA","Lisboa","Lisboa","1750-184","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário;Especial;Artistico","210467009","http://www.colegiodestomas.com","cl.stomaslumiar@escolas.min-edu.pt; ","210437000",""
"502558","Academia de Música de Santa Cecília","","","N","Largo do Ministro, nº 9 - Ameixoeira","LISBOA","Lisboa","Lisboa","1750-200","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário;Artistico","217590084","","acm.stacecilialisboa@escolas.min-edu.pt; ","217594031","961355990"
"502832","Externato As Descobertas","","","N","Rua Capitão-Mor Pedro Teixeira, n.º 11","LISBOA","Lisboa","Lisboa","1400-041","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo","213031069","http://www.exdescobertas.com","ext.asdescobertas@escolas.min-edu.pt; ","213031060",""
"803194","Externato Alfredo Binet","","","N","Rua Paulo da Gama, 14","LISBOA","Lisboa","Lisboa","1400-267","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Especial","213012374","","ext.alfredobinet@escolas.min-edu.pt; ","213014247",""
"505160","Cooperativa A Torre","","","N","Praça da Malaca, n.º 3","LISBOA","Lisboa","Lisboa","1400-239","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo","","https://atorre.pt/","ext.atorre@escolas.min-edu.pt; geral@atorre.pt; ","213011407",""
"504841","Externato ""A Ritinha""","","","N","Av. António Augusto de Aguiar, nº 179 R/c Dtº","LISBOA","Lisboa","Lisboa","1050-014","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","213878699","","ext.aritinha@escolas.min-edu.pt; ","213878699",""
"503034","Externato ""A Escolinha""","","","N","Rua Fernão Mendes Pinto, nº 41","LISBOA","Lisboa","Lisboa","1400-145","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","213014452","","ext.aescolinha@escolas.min-edu.pt; ","213014452",""
"505213","IES Cesário Verde International School Portugal","","","N","Avenida Infante D. Henrique, Lote 308","LISBOA","Lisboa","Lisboa","1950-421","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo","219457599","http://www.cesarioverde-ensino.pt/","ext.cesarioverde@escolas.min-edu.pt; ","219457590","219457592"
"800335","Colégio As Descobertas","","","N","Avenida D Vasco da Gama, 25","LISBOA","Lisboa","Lisboa","1400-127","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;Especial","","","cl.asdescobertas@escolas.min-edu.pt; ","213014811",""
"800331","Escola Selecta Amadeu Andrés","","","N","Rua Marques da Silva, n.º 79 - Quinta da Palmeira","LISBOA","Lisboa","Lisboa","1170-222","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário","218150332","","esc.spdramadeuandres@escolas.min-edu.pt; ","218123482",""
"800327","Colégio Académico","","","N","Avenida da República, 13 e 13 C","LISBOA","Lisboa","Lisboa","1050-185","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário","213142016","","cl.academico@escolas.min-edu.pt; ","213558630",""
"504415","Colégio ""O Pelicano""","","","N","Rua Barão De Sabrosa, Nº 215","LISBOA","Lisboa","Lisboa","1900-089","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","218486620","","geral@fundacaoacaridade.pt; ","218454550",""
"502923","Colégio Piloto Diese","","","N","Avenida Almirante Gago Coutinho, n.º 162","LISBOA","Lisboa","Lisboa","1700-033","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","217970050","http://www.pilotodiese.web.pt","ji.diese@escolas.min-edu.pt; ","217970313","961038376"
"504737","Nova Escola João de Deus Ramos","","","N","Avenida João Crisóstomo, nº 35 - R/C - E","LISBOA","Lisboa","Lisboa","1050-125","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","213150717","","novaescjoaodeusramos@escolas.min-edu.pt; ","213571992",""
"804157","Lua Crescente","","","N","Estrada da Circunvalação, Lote 2 Olivais","LISBOA","Lisboa","Lisboa","1800-136","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","","","geral@luacrescente.pt; ","218520043","965555727"
"505195","Colégio Valsassina","","","N","Avenida Avelino Teixeira da Mota - Quinta das Teresinhas","LISBOA","Lisboa","Lisboa","1959-010","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário","218370304","http://www.cvalsassina.pt","cl.valsassina@escolas.min-edu.pt; ","218310900",""
"800441","Colégio São Tomás - Sete Rios","","","N","Rua Professor Lima Basto, n.º 133","LISBOA","Lisboa","Lisboa","1070-212","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","217247019","http://www.colegiodestomas.com","cl.stomas@escolas.min-edu.pt; ","217247010",""
"800428","Salesianos de Lisboa - Colégio Oficinas de São José","","","N","Praça São João Bosco, 34 - r/c","LISBOA","Lisboa","Lisboa","1399-007","Lisboa e Vale do Tejo","QZP.45","Privado","1º Ciclo;2º Ciclo;3º Ciclo;Secundário","213903869","http://www.osj.salesianos.pt","cl.soficinassjose@escolas.min-edu.pt; ","210900500",""
"800401","PaRK International School - Restelo","","","N","Avenida das Descobertas, 21","LISBOA","Lisboa","Lisboa","1400-091","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo","213944009","","official@inpirededu.com; ","213026316",""
"800395","Montessori Bright Academy","","","N","Avenida Almirante Gago Coutinho, n.º 141","LISBOA","Lisboa","Lisboa","1700-029","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","","https://www.lisbonmontessorischool.com","cl.navozinha@escolas.min-edu.pt; ","","967393592"
"803264","Externato da Sociedade Promotora de Educação Popular","","","N","Largo das Fontaínhas, nº 19","LISBOA","Lisboa","Lisboa","1300-255","Lisboa e Vale do Tejo","QZP.45","Privado","1º Ciclo","213637189","","ext.spepopular@escolas.min-edu.pt; ","213637189",""
"503769","Externato da Luz","","","N","Largo da Luz,  n.º 11 - r/c","LISBOA","Lisboa","Lisboa","1600-498","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo","217161513","http://odin.depgef.min-edu.pt/es/extluz/","ext.luz@escolas.min-edu.pt; ","217140769",""
"502777","Externato São Cristóvão","","","N","Rua Emília das Neves, nº 7 e 7 - A","LISBOA","Lisboa","Lisboa","1500-259","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","217602927","","ext.saocristovao@escolas.min-edu.pt; ","217606527",""
"502108","Externato Santa Maria de Belém","","","N","Rua Duarte Pacheco Pereira, n.º 24 , 1.º,  Restelo","LISBOA","Lisboa","Lisboa","1400-140","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","213032424","","ext.santamdebelem@escolas.min-edu.pt; ","213011343",""
"503230","Externato ""Santa Francisca""","","","N","Rua Sabino de Sousa, nº 19 - 1º","LISBOA","Lisboa","Lisboa","1900-397","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","210823419","http://www.esfrancisca.pt","ext.santafrancisca@escolas.min-edu.pt; ","218132139",""
"503990","Externato ""Sá de Miranda""","","","N","Rua Alexandre Braga, 17-1º","LISBOA","Lisboa","Lisboa","1150-002","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo","213579934","","ext.sademiranda@escolas.min-edu.pt; ","213155310",""
"501888","Externato São Miguel Arcanjo","","","N","Avenida Dr. Alfredo Bensaúde - Quinta da Barroquinha","LISBOA","Lisboa","Lisboa","1800-175","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo","218512282","http://www.esma.pt/","ext.smiguelarcanjo@escolas.min-edu.pt; ","218517834",""
"504142","Externato Nobel","","","N","Alameda D. Afonso Henriques, nº 78 - R/C","LISBOA","Lisboa","Lisboa","1000-125","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","","","ext.nobel@escolas.min-edu.pt; ","218485886",""
"504828","Colégio Mira Rio","","","N","Estrada de Telheiras, n.º 113","LISBOA","Lisboa","Lisboa","1600-768","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário","213030489","http://www.colegiomirario.pt","ext.mirario@escolas.min-edu.pt; ","213030480","925781162"
"502583","Externato Marcelino Champagnat","","","N","Azinhaga da Vila Formosa - Aeroporto","LISBOA","Lisboa","Lisboa","1700-008","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo","218540195","","ext.mchampagnat@escolas.min-edu.pt; ","218540190",""
"502900","Externato Mãe de Deus","","","N","Rua Penha de França, 243","LISBOA","Lisboa","Lisboa","1170-304","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","218147938","","ext.maededeus@escolas.min-edu.pt; ","218149048",""
"502261","Externato ""Luso-Britânico""","","","N","Avenida Santa Joana Princesa, nº 7 e 13","LISBOA","Lisboa","Lisboa","1700-356","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","218490795","","ext.lusobritanico@escolas.min-edu.pt; ","218490795",""
"503538","Externato ""João XXIII""","","","N","Rua Corsário das Ilhas, Lote 3 27.02","LISBOA","Lisboa","Lisboa","1990-249","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo","218513109","","ebm.n3010.joaoxxiii@escolas.min-edu.pt; ","218510363",""
"522132","Externato ""Infante D. Pedro""","","","N","Avenida da República, nº 49 - R/C","LISBOA","Lisboa","Lisboa","1050-188","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","217936896","http://www.ext-infantedpedro.com","ext.infantedpedro@escolas.min-edu.pt; ","217973322",""
"505201","Externato Grão Vasco","","","N","Avenida Grão Vasco, nº 40","LISBOA","Lisboa","Lisboa","1500-338","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;Especial","217600496","http://www.graovasco.pt","ext.graovasco@escolas.min-edu.pt; ","217603207",""
"504026","Colégio Moderno","","","N","Rua Dr. João Soares, 19 e 22","LISBOA","Lisboa","Lisboa","1600-060","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário;Artistico","217991841","http://www.colegiomoderno.pt","cl.moderno@escolas.min-edu.pt; ","217991840",""
"504221","Escola do Grémio de Instrução Liberal de Campo de Ourique","","","N","Largo Dr. António Viana, n.º 4","LISBOA","Lisboa","Lisboa","1250-096","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo","213959008","http://www.gremionet.com","esc.gilcampoourique@escolas.min-edu.pt; ","213959009",""
"516673","Escola Primária Centro Cultural e Recreativo para Crianças Cruzeiro e Rio Seco","","","N","Rua D. João de Castro, n.º 86","LISBOA","Lisboa","Lisboa","1300-195","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","213644465","","cc.rccruzeirorioseco@escolas.min-edu.pt; ","213644465",""
"502534","CEBE - Cooperativa de Ensino de Benfica","","","N","Estrada de Benfica, nº 356","LISBOA","Lisboa","Lisboa","1500-099","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","217783432","","cebe@escolas.min-edu.pt; ","217782120",""
"508536","Escola Privativa n.º 1 de A Voz do Operário","","","N","Rua da Voz do Operário n.º 13","LISBOA","Lisboa","Lisboa","1100-620","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo","218862193","http://www.vozoperario.pt","esc.n1.avdooperario@escolas.min-edu.pt; geral@vozoperario.pt; ","218862155",""
"804244","Primeira Secção do Externato Alfredo Binet","","","N","Rua António Abreu, 5 - r/c - Restelo","LISBOA","Lisboa","Lisboa","1400-016","Lisboa e Vale do Tejo","QZP.45","Privado","1º Ciclo;2º Ciclo;Especial","213012374","","sextalfredobinet@escolas.min-edu.pt; ","213014247",""
"522120","Real Colégio de Portugal","","","N","Rua Direita ao Paço do Lumiar, n.º 7 a 9","LISBOA","Lisboa","Lisboa","1600-435","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário","217571957","http://www.realcolegio.pt/","realclportugal@escolas.min-edu.pt; ","217571957",""
"504981","Queen Elizabeths School","","","N","Rua Filipe de Magalhães, nº 1","LISBOA","Lisboa","Lisboa","1700-194","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","218410149","http://www.qes.pt","qelisabethsschool@escolas.min-edu.pt; ","218410140",""
"501803","Externato Rainha Dona Amélia","","","N","Rua da Estrela, n.º 65 - 1º","LISBOA","Lisboa","Lisboa","1200-668","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","213942099","http://www.externatorainhadonaamelia.com.pt","ext.rainhadonaamelia@escolas.min-edu.pt; ","213942090",""
"504488","Externato PIM PAM PUM","","","N","Praça Rainha D. Filipa, nº 1 - R/C","LISBOA","Lisboa","Lisboa","1600-681","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","","http://www.externatopimpampum.com/","ext.pimpampum@escolas.min-edu.pt; ","217593659",""
"503198","Externato Os Fofinhos","","","N","Rua D. Pedro Cristo, nº 18","LISBOA","Lisboa","Lisboa","1700-136","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","218472517","www.osfofinhos.pt","ext.osfofinhos@escolas.min-edu.pt; ","218478240","218403257"
"504610","Externato O Poeta","","","N","Alameda das Linhas de Torres, nº 82","LISBOA","Lisboa","Lisboa","1750-147","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","217568570","","ext.opoeta@escolas.min-edu.pt; ","217591275",""
"803214","Externato O Nosso Jardim","","","N","Calçada da Estrela, nº 129 - Temporariamente- Rua da Bela Vista à Lapa, 55 - 1200 612","LISBOA","Lisboa","Lisboa","1200-662","Lisboa e Vale do Tejo","QZP.45","Privado","1º Ciclo","213940890","","ext.onjardimlisboa@escolas.min-edu.pt; primaria@onossojardim.com; ","213905242",""
"502741","Externato ""O Lar da Criança""","","","N","Rua Almeida Brandão, nº 25","LISBOA","Lisboa","Lisboa","1200-602","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","213906798","","ext.olardacrianca@escolas.min-edu.pt; ","213965000",""
"502042","Externato O Barquinho","","","N","Rua António Andrade, nº 12","LISBOA","Lisboa","Lisboa","1700-044","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","218487246","","ext.obarquinholisboa@escolas.min-edu.pt; ","218487246",""
"505274","Escola de São Francisco Xavier","","","N","Rua Duarte Pacheco Pereira, 5","LISBOA","Lisboa","Lisboa","1400-139","Lisboa e Vale do Tejo","QZP.45","Privado","1º Ciclo;2º Ciclo;3º Ciclo","213010039","http://www.esfranciscoxavier.com.sapo.pt","esc.sfranciscoxavier@escolas.min-edu.pt; ","213010039",""
"504178","Escola de Pedro Nunes","","","S","Rua Saraiva de Carvalho, nº 216-1º","LISBOA","Lisboa","Lisboa","1250-245","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo","213961943","","esc.pedronunes@escolas.min-edu.pt; ","213961943","936588758"
"503897","Escola Ave-Maria","","","N","Rua dos Lusíadas, 49 r/c","LISBOA","Lisboa","Lisboa","1300-366","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo","213625108","","esc.avemaria@escolas.min-edu.pt; ","213610970",""
"800176","CRINABEL- Cooperativa de Ensino Especial e Solidariedade Social","","","N","Avenida Álvares Cabral, 17 a 21","LISBOA","Lisboa","Lisboa","1250-015","Lisboa e Vale do Tejo","QZP.45","Privado","1º Ciclo;Especial","213825609","","crinabel@escolas.min-edu.pt; ","213825602",""
"800185","Escola Casa da Floresta","","","S","Sítio do Barcal, n.º 9","LISBOA","Lisboa","Lisboa","1500-554","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo","","","cl.cfverdesanos@escolas.min-edu.pt; ","217743242",""
